X	Y	P
48.8250 2.0925 116.2990
49.5225 2.0925 120.5618
50.2200 2.0925 124.3476
50.9175 2.0925 103.5748
51.6150 2.0925 82.8013
52.3125 2.0925 84.1560
53.0100 2.0925 88.9228
53.7075 2.0925 92.5457
54.4050 2.0925 95.7037
55.1025 2.0925 98.8776
55.8000 2.0925 102.0618
56.4975 2.0925 102.7943
57.1950 2.0925 100.0416
57.8925 2.0925 98.5330
58.5900 2.0925 100.5818
59.2875 2.0925 102.5004
59.9850 2.0925 103.1050
60.6825 2.0925 103.7097
61.3800 2.0925 87.7979
62.0775 2.0925 82.0920
62.7750 2.0925 76.0096
63.4725 2.0925 69.8135
64.1700 2.0925 92.4243
64.8675 2.0925 143.7762
65.5650 2.0925 161.5248
66.2625 2.0925 145.5404
66.9600 2.0925 210.3176
67.6575 2.0925 114.7177
68.3550 2.0925 48.4498
69.0525 2.0925 102.0982
69.7500 2.0925 99.8284
0.0000 2.7900 117.5655
0.6975 2.7900 89.8957
1.3950 2.7900 61.4082
2.0925 2.7900 69.2742
2.7900 2.7900 99.6574
3.4875 2.7900 113.2631
4.1850 2.7900 111.1893
4.8825 2.7900 106.6039
5.5800 2.7900 99.5326
6.2775 2.7900 92.4086
6.9750 2.7900 99.9309
7.6725 2.7900 107.9267
8.3700 2.7900 105.3895
9.0675 2.7900 100.7044
9.7650 2.7900 102.2777
10.4625 2.7900 106.4624
11.1600 2.7900 104.6686
11.8575 2.7900 93.2471
12.5550 2.7900 84.2578
13.2525 2.7900 91.2964
13.9500 2.7900 98.3476
14.6475 2.7900 91.0524
15.3450 2.7900 82.6081
16.0425 2.7900 85.3780
16.7400 2.7900 91.9606
17.4375 2.7900 101.6296
18.1350 2.7900 113.7343
18.8325 2.7900 116.0621
19.5300 2.7900 103.4063
20.2275 2.7900 93.4330
20.9250 2.7900 92.7644
21.6225 2.7900 91.9197
22.3200 2.7900 88.7364
23.0175 2.7900 85.5518
23.7150 2.7900 84.2083
24.4125 2.7900 83.0374
25.1100 2.7900 96.0484
25.8075 2.7900 114.1451
26.5050 2.7900 125.1550
27.2025 2.7900 131.3475
27.9000 2.7900 128.3888
28.5975 2.7900 111.4137
29.2950 2.7900 97.7185
29.9925 2.7900 94.1786
30.6900 2.7900 91.2371
31.3875 2.7900 95.2116
32.0850 2.7900 99.1866
32.7825 2.7900 96.0636
33.4800 2.7900 92.3652
34.1775 2.7900 94.5442
34.8750 2.7900 98.4797
35.5725 2.7900 99.6196
36.2700 2.7900 99.0404
36.9675 2.7900 98.7029
37.6650 2.7900 98.5818
38.3625 2.7900 99.0707
39.0600 2.7900 101.0596
39.7575 2.7900 103.3144
40.4550 2.7900 106.9742
41.1525 2.7900 110.6343
41.8500 2.7900 103.5699
42.5475 2.7900 96.3616
43.2450 2.7900 91.0443
43.9425 2.7900 86.1643
44.6400 2.7900 91.9189
45.3375 2.7900 102.7603
46.0350 2.7900 103.2303
46.7325 2.7900 94.1245
47.4300 2.7900 93.0911
48.1275 2.7900 105.7215
48.8250 2.7900 116.5132
49.5225 2.7900 120.7729
50.2200 2.7900 123.3476
50.9175 2.7900 102.5882
51.6150 2.7900 81.8280
52.3125 2.7900 84.3730
53.0100 2.7900 89.1371
53.7075 2.7900 92.6889
54.4050 2.7900 95.8451
55.1025 2.7900 99.0191
55.8000 2.7900 102.2016
56.4975 2.7900 102.6653
57.1950 2.7900 99.9143
57.8925 2.7900 98.6115
58.5900 2.7900 100.6594
59.2875 2.7900 102.5364
59.9850 2.7900 103.1405
60.6825 2.7900 103.7446
61.3800 2.7900 87.5649
62.0775 2.7900 81.8616
62.7750 2.7900 75.7759
63.4725 2.7900 69.5823
64.1700 2.7900 94.3576
64.8675 2.7900 145.6895
65.5650 2.7900 160.9459
66.2625 2.7900 144.9676
66.9600 2.7900 206.8327
67.6575 2.7900 111.2684
68.3550 2.7900 50.3655
69.0525 2.7900 103.9944
69.7500 2.7900 99.8284
0.0000 3.4875 99.5606
0.6975 3.4875 73.6169
1.3950 3.4875 54.3781
2.0925 3.4875 83.0457
2.7900 3.4875 107.5580
3.4875 3.4875 113.2505
4.1850 3.4875 111.1315
4.8825 3.4875 103.6293
5.5800 3.4875 96.7825
6.2775 3.4875 95.2291
6.9750 3.4875 102.9166
7.6725 3.4875 108.4600
8.3700 3.4875 103.4841
9.0675 3.4875 98.9332
9.7650 3.4875 103.9390
10.4625 3.4875 108.0110
11.1600 3.4875 101.6743
11.8575 3.4875 90.4100
12.5550 3.4875 85.8473
13.2525 3.4875 92.8124
13.9500 3.4875 97.8086
14.6475 3.4875 89.4433
15.3450 3.4875 81.0625
16.0425 3.4875 86.5860
16.7400 3.4875 93.1227
17.4375 3.4875 103.6325
18.1350 3.4875 115.6672
18.8325 3.4875 114.1170
19.5300 3.4875 101.5246
20.2275 3.4875 93.3322
20.9250 3.4875 92.6669
21.6225 3.4875 91.4680
22.3200 3.4875 88.2983
23.0175 3.4875 85.2491
23.7150 3.4875 84.0684
24.4125 3.4875 82.9010
25.1100 3.4875 98.2565
25.8075 3.4875 116.2957
26.5050 3.4875 125.7339
27.2025 3.4875 131.9149
27.9000 3.4875 126.6181
28.5975 3.4875 109.6831
29.2950 3.4875 97.3787
29.9925 3.4875 93.8458
30.6900 3.4875 91.6110
31.3875 3.4875 95.5778
32.0850 3.4875 99.4213
32.7825 3.4875 95.7302
33.4800 3.4875 92.0383
34.1775 3.4875 94.8883
34.8750 3.4875 98.8173
35.5725 3.4875 99.5570
36.2700 3.4875 98.9792
36.9675 3.4875 98.6981
37.6650 3.4875 98.5769
38.3625 3.4875 99.2171
39.0600 3.4875 101.2035
39.7575 3.4875 103.5952
40.4550 3.4875 107.2504
41.1525 3.4875 110.2753
41.8500 3.4875 103.0749
42.5475 3.4875 95.8740
43.2450 3.4875 90.6968
43.9425 3.4875 85.8222
44.6400 3.4875 92.6097
45.3375 3.4875 103.4415
46.0350 3.4875 102.6612
46.7325 3.4875 93.5632
47.4300 3.4875 93.9162
48.1275 3.4875 106.5349
48.8250 3.4875 116.7885
49.5225 3.4875 121.0443
50.2200 3.4875 122.0628
50.9175 3.4875 101.3208
51.6150 3.4875 80.5776
52.3125 3.4875 84.6519
53.0100 3.4875 89.4124
53.7075 3.4875 92.8729
54.4050 3.4875 96.0267
55.1025 3.4875 99.2011
55.8000 3.4875 102.3812
56.4975 3.4875 102.4997
57.1950 3.4875 99.7508
57.8925 3.4875 98.7124
58.5900 3.4875 100.7592
59.2875 3.4875 102.5827
59.9850 3.4875 103.1861
60.6825 3.4875 92.9651
61.3800 3.4875 87.2654
62.0775 3.4875 81.5656
62.7750 3.4875 75.4756
63.4725 3.4875 69.2851
64.1700 3.4875 96.8424
64.8675 3.4875 148.1478
65.5650 3.4875 160.2020
66.2625 3.4875 144.2310
66.9600 3.4875 202.3540
67.6575 3.4875 106.8368
68.3550 3.4875 52.8277
69.0525 3.4875 106.4314
69.7500 3.4875 99.8284
